INTEGRATED_NAME,ADDRESS,TREES_KIND
회기로,"서울특별시 동대문구 회기동 45-37","은행나무 "
회기로,"서울특별시 동대문구 회기동 60-48","은행나무 "
회기로,"서울특별시 동대문구 회기동 60-1","은행나무 "
회기로,"서울특별시 동대문구 청량리동 산 1-135","양버즘나무 은행나무 "
회기로,"서울특별시 동대문구 청량리동 산 4-2","은행나무 "
제기로,"서울특별시 동대문구 청량리동 34","양버즘나무 은행나무 "
답십리로,"서울특별시 동대문구 답십리동 473-63","양버즘나무 은행나무 "
천호대로,"서울특별시 동대문구 용두동 39-559","양버즘나무 느티나무 "
천호대로,"서울특별시 동대문구 용두동 47-1","양버즘나무 단풍나무 이팝나무 산수유 느티나무 "
황물로,"서울특별시 동대문구 전농동 667-4","양버즘나무 이팝나무 은행나무 "
제기로17길,"서울특별시 동대문구 청량리동 520-9","은행나무 "
회기로,"서울특별시 동대문구 청량리동 산 5-8","은행나무 "
사가정로,"서울특별시 동대문구 답십리동 112-3","은행나무 "
전농로,"서울특별시 동대문구 답십리동 53-1","양버즘나무 은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 129-75","은행나무 "
천호대로,"서울특별시 동대문구 답십리동 497-34","양버즘나무 은행나무 "
천호대로,"서울특별시 동대문구 신설동 92-34","양버즘나무 "
서울시립대로,"서울특별시 동대문구 전농동 646-22","은행나무 "
홍릉로,"서울특별시 동대문구 청량리동 205-850","양버즘나무 은행나무 "
홍릉로,"서울특별시 동대문구 청량리동 산 1-227","양버즘나무 은행나무 "
천호대로,"서울특별시 동대문구 장안동 480-18","양버즘나무 은행나무 "
답십리로,"서울특별시 동대문구 전농동 666","양버즘나무 이팝나무 은행나무 "
천호대로47길,"서울특별시 동대문구 답십리동 462-1","느티나무 "
안암로,"서울특별시 동대문구 용두동 774","양버즘나무 은행나무 "
제기로,"서울특별시 동대문구 청량리동 819","양버즘나무 은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 582-6","은행나무 "
사가정로,"서울특별시 동대문구 답십리동 549-2","은행나무 "
한천로,"서울특별시 동대문구 이문동 354-5","양버즘나무 은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 666","은행나무 "
천호대로47길,"서울특별시 동대문구 답십리동 552","느티나무 "
회기로,"서울특별시 동대문구 청량리동 산 5-9","은행나무 "
장한로,"서울특별시 동대문구 장안동 469-3","이팝나무 벚나무 "
장한로,"서울특별시 동대문구 장안동 469-12","양버즘나무 이팝나무 은행나무 "
고산자로,"서울특별시 동대문구 제기동 696","양버즘나무 "
겸재로,"서울특별시 동대문구 휘경동 57-2","메타세쿼이아 배롱나무 "
한천로,"서울특별시 동대문구 휘경동 43-1","양버즘나무 은행나무 "
고산자로,"서울특별시 동대문구 제기동 699","양버즘나무 "
전농로,"서울특별시 동대문구 전농동 103-156","은행나무 "
사가정로,"서울특별시 동대문구 답십리동 549-1","단풍나무 은행나무 느티나무 "
사가정로,"서울특별시 동대문구 전농동 311","은행나무 "
사가정로,"서울특별시 동대문구 전농동 295-26","은행나무 "
한천로,"서울특별시 동대문구 장안동 150-21","양버즘나무 은행나무 "
왕산로,"서울특별시 동대문구 청량리동 819","양버즘나무 이팝나무 은행나무 느티나무 "
회기로,"서울특별시 동대문구 청량리동 205-553","은행나무 "
회기로,"서울특별시 동대문구 청량리동 206-9","계수나무 버드나무 은행나무 피나무 느티나무 느릅나무 "
장한로,"서울특별시 동대문구 장안동 469-4","이팝나무 "
외대역동로,"서울특별시 동대문구 휘경동 361-1","양버즘나무 느티나무 백합나무 "
한천로63길,"서울특별시 동대문구 이문동 225","느티나무 "
서울시립대로,"서울특별시 동대문구 전농동 584-21","은행나무 "
홍릉로25길,"서울특별시 동대문구 청량리동 205-491","은행나무 "
장안벚꽃로,"서울특별시 동대문구 장안동 473-7","모과나무 양버즘나무 잣나무 이팝나무 은행나무 느티나무 벚나무 "
답십리로,"서울특별시 동대문구 전농동 655-36","은행나무 "
망우로,"서울특별시 동대문구 휘경동 66-1","은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 530-119","은행나무 "
망우로,"서울특별시 동대문구 휘경동 268-1","이팝나무 은행나무 "
무학로,"서울특별시 동대문구 용두동 118-86","양버즘나무 "
이문로,"서울특별시 동대문구 이문동 284-4","양버즘나무 은행나무 "
이문로,"서울특별시 동대문구 이문동 325-1","양버즘나무 은행나무 "
무학로,"서울특별시 동대문구 용두동 190-5","은행나무 "
무학로,"서울특별시 동대문구 용두동 237-10","양버즘나무 은행나무 백합나무 "
한천로,"서울특별시 동대문구 장안동 217-1","양버즘나무 이팝나무 은행나무 "
홍릉로,"서울특별시 동대문구 청량리동 205-848","양버즘나무 "
황물로,"서울특별시 동대문구 답십리동 530-2","양버즘나무 이팝나무 은행나무 "
황물로,"서울특별시 동대문구 답십리동 489-90","은행나무 "
홍릉로,"서울특별시 동대문구 청량리동 819","양버즘나무 은행나무 느티나무 회화나무 "
왕산로,"서울특별시 동대문구 청량리동 35","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 장안동 107-3","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 장안동 188-15","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 장안동 106-6","양버즘나무 은행나무 "
약령시로,"서울특별시 동대문구 제기동 856","양버즘나무 "
이문로,"서울특별시 동대문구 이문동 346-131","양버즘나무 은행나무 "
망우로,"서울특별시 동대문구 휘경동 255-22","은행나무 "
이문로,"서울특별시 동대문구 휘경동 183-52","은행나무 "
이문로,"서울특별시 동대문구 이문동 255-192","은행나무 "
장안벚꽃로,"서울특별시 동대문구 장안동 473-3","양버즘나무 이팝나무 회화나무 "
천호대로45길,"서울특별시 동대문구 용두동 39-928","은행나무 "
답십리로,"서울특별시 동대문구 장안동 141-2","이팝나무 "
회기로,"서울특별시 동대문구 회기동 77-42","은행나무 "
왕산로,"서울특별시 동대문구 용두동 237-10","양버즘나무 이팝나무 은행나무 "
망우로,"서울특별시 동대문구 휘경동 316-3","은행나무 "
이문로,"서울특별시 동대문구 이문동 292-100","은행나무 "
이문로,"서울특별시 동대문구 이문동 255-8","은행나무 "
왕산로,"서울특별시 동대문구 제기동 65","양버즘나무 이팝나무 은행나무 "
천호대로,"서울특별시 동대문구 장안동 472-3","양버즘나무 은행나무 "
서울시립대로,"서울특별시 동대문구 답십리동 465-141","은행나무 "
홍릉로25길,"서울특별시 동대문구 청량리동 203-32","은행나무 감나무 "
한천로,"서울특별시 동대문구 이문동 92-27","양버즘나무 은행나무 "
정릉천동로,"서울특별시 동대문구 제기동 271-50","양버즘나무 은행나무 "
전농로,"서울특별시 동대문구 전농동 60-34","은행나무 "
답십리로,"서울특별시 동대문구 답십리동 2-299","이팝나무 "
서울시립대로,"서울특별시 동대문구 전농동 129-71","은행나무 "
황물로,"서울특별시 동대문구 답십리동 489-42","은행나무 "
