INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,TREE_NAME,CONIFEROUS_DECIDUOUS,EVERGREEN_DECIDUOUS,SIZE_STRUCTURE,FLOWER_FRUIT,FLOWER,SEASON
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",중국단풍,활엽수,낙엽수,교목,,봄,가을
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",칠엽수,활엽수,낙엽수,교목,,봄,X
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",물푸레나무,활엽수,낙엽수,교목,,봄,X
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",향나무,침엽수,상록수,관목,,X,X
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",사과나무,활엽수,낙엽수,교목,열매수,봄,가을
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",잣나무,침엽수,상록수,교목,,X,X
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 ",단풍나무,활엽수,낙엽수,교목,,봄,가을
천호대로,"서울특별시 동대문구 용두동 237-10",0.050337358499340144,"양버즘나무 이팝나무 은행나무 느티나무 백합나무 ",백합나무,활엽수,낙엽수,교목,,봄,X
